Name,Description,Latitude,Longitude
BCY-L83N01,SORO-SORO IBABA,121.0903141,121.0903141
BCY-L83N02,SORO-SORO IBABA,121.0903141,121.0903141
BCY-L83N03,SORO-SORO IBABA,121.0896504,121.0896504
BCY-L83N04,SORO-SORO IBABA,121.0896504,121.0896504
BCY-L83N05,SORO-SORO IBABA,121.0904677,121.0904677
BCY-L83N06,SORO-SORO IBABA,121.0904677,121.0904677
BCY-L84N01,SORO-SORO IBABA,121.0896142,121.0896142
BCY-L84N02,SORO-SORO IBABA,121.0896142,121.0896142
BCY-L84N03,SORO-SORO IBABA,121.0883574,121.0883574
BCY-L84N04,SORO-SORO IBABA,121.0883574,121.0883574
BCY-L84N05,SORO-SORO IBABA,121.087928,121.087928
BCY-L84N06,SORO-SORO IBABA,121.087928,121.087928
BCY-L85N01,SORO-SORO IBABA,121.0919403,121.0919403
BCY-L85N02,SORO-SORO IBABA,121.0919403,121.0919403
BCY-L85N03,SORO-SORO IBABA,121.0929923,121.0929923
BCY-L85N04,SORO-SORO IBABA,121.0941216,121.0941216
BCY-L85N05,SORO-SORO IBABA,121.0949512,121.0949512
BCY-L85N06,SORO-SORO IBABA,121.0949512,121.0949512
BCY-L86N01,SORO-SORO IBABA,121.0955757,121.0955757
BCY-L86N02,SORO-SORO IBABA,121.0955757,121.0955757
BCY-L86N03,SORO-SORO IBABA,121.0956057,121.0956057
BCY-L86N04,SORO-SORO IBABA,121.0956057,121.0956057
BCY-L86N05,SORO-SORO IBABA,121.0947021,121.0947021
BCY-L86N06,SORO-SORO IBABA,121.0947021,121.0947021
BCY-L87N01,SORO-SORO IBABA,121.0949505,121.0949505
BCY-L87N02,SORO-SORO IBABA,121.0949505,121.0949505
BCY-L87N03,SORO-SORO IBABA,121.0950073,121.0950073
BCY-L87N04,SORO-SORO IBABA,121.0950073,121.0950073
BCY-L87N05,SORO-SORO IBABA,121.0950268,121.0950268
BCY-L87N06,SORO-SORO IBABA,121.0950268,121.0950268
BCY-L88N01,SORO-SORO IBABA,121.0893026,121.0893026
BCY-L88N02,SORO-SORO IBABA,121.0893026,121.0893026
BCY-L88N03,SORO-SORO IBABA,121.0878228,121.0878228
BCY-L88N04,SORO-SORO IBABA,121.0878228,121.0878228
BCY-L88N05,SORO-SORO IBABA,121.0847977,121.0847977
BCY-L88N06,SORO-SORO IBABA,121.0847977,121.0847977
BCY-L89N01,SORO-SORO IBABA,121.0897224,121.0897224
BCY-L89N02,SORO-SORO IBABA,121.0897224,121.0897224
BCY-L89N03,SORO-SORO IBABA,121.0903376,121.0903376
BCY-L89N04,SORO-SORO IBABA,121.0903376,121.0903376
BCY-L89N05,SORO-SORO IBABA,121.0903393,121.0903393
BCY-L89N06,SORO-SORO IBABA,121.0903393,121.0903393
BLN4-L233N3,Brgy. Sto. Cristo,120.8735,120.8735
BLN4-L233N4,Brgy. Sto. Cristo,120.8735,120.8735
LGN-L101N6,Celina Plains Phase lll,121.115318,121.115318
LGN-L74N3,Garden Villas Phase 1,14.305664,14.305664
LGN-L74N4,Garden Villas Phase 1,14.305664,14.305664
MAL-L110N01,Malabon Area 2,120.95693,120.95693
MAL-L110N02,Malabon Area 2,120.95693,120.95693
MAL-L110N7,Malabon Area 2,120.95693,120.95693
MLA-L283N3,Manila - San Miguel,120.99437,120.99437
MLA-L283N4,Manila - San Miguel,120.99437,120.99437
MRKN-L263N3,Industrial Valley Sitio Olandes,14.61966,14.61966
SLN-L1N1D,Levina Place,121.09213,121.09213
SLN-L1N1F,Levina Place,121.09213,121.09213
VAL-L68N3,Valenzuela - Malinta Sec. 2,120.96131,120.96131
VAL-L68N4,Valenzuela - Malinta Sec. 2,120.96131,120.96131
